strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
clear_probe,3000,15,15,15,1.0,True,641.9131498822563,9628.697248233844,6722.697248233845,33613.48624116923,2390.0,478,428,0.895397489539749,50,0,441,15,15,15,16,16,2231.5627485241353,7750.365392363503,1047.7279968107696,9628.697248233844,80,0.03480299300281331
clear_probe,3001,12,12,12,1.0,True,746.4003569801158,8956.80428376139,6047.804283761391,30239.02141880696,2405.0,481,438,0.9106029106029107,43,0,444,12,12,12,11,11,1231.2532594353906,4598.414978239865,429.17298411077303,8956.80428376139,40,0.04447335900476901
clear_probe,3002,11,11,11,1.0,True,926.2643408510078,10188.907749361086,6388.9077493610885,31944.538746805432,3150.0,630,593,0.9412698412698413,37,0,595,11,11,11,13,13,2557.6475051614743,9082.427397668234,518.4900944353928,10188.907749361086,40,0.040588266994745936
clear_probe,3003,14,14,14,1.0,True,713.0234237929334,9982.327933101067,6769.327933101069,33846.63966550534,2650.0,530,477,0.9,53,0,493,14,14,14,18,18,1876.1700102713542,4865.998669399629,709.0012091836629,9982.327933101067,60,0.05125014600344002
clear_probe,3004,13,13,13,1.0,True,739.2578045293395,9610.351458881414,6601.351458881413,33006.75729440706,2485.0,497,449,0.903420523138833,48,0,459,13,13,13,17,17,1709.4817209726434,5717.161135472856,1499.8982112489066,9610.351458881414,119,0.04703745900042122
clear_probe,3005,15,15,15,1.0,True,647.2759761510252,9709.139642265378,6457.139642265375,32285.698211326882,2675.0,535,479,0.8953271028037383,56,0,502,15,15,15,26,26,1776.8902431423314,5904.534354688092,1823.023113279799,8755.706755468838,140,0.0422973069944419
clear_probe,3006,15,15,15,1.0,True,659.97824426135,9899.67366392025,6806.673663920248,34033.36831960125,2545.0,509,456,0.8958742632612967,53,0,473,15,15,15,13,13,3706.408470705195,7239.920941354126,1237.2008056153593,9899.67366392025,100,0.043711400001484435
clear_probe,3007,15,15,15,1.0,True,652.756215816794,9791.34323725191,6519.343237251909,32596.716186259557,2695.0,539,482,0.8942486085343229,57,0,502,15,15,15,25,25,2875.9196581617853,7542.666788928951,2080.0717933691913,9791.34323725191,160,0.04573773300216999
clear_probe,3008,12,12,12,1.0,True,814.7110177452561,9776.532212943073,6334.5322129430715,31672.661064715357,2850.0,570,530,0.9298245614035088,40,0,532,12,12,12,16,16,1697.281893039918,4751.7496293686345,530.8849402672122,9776.532212943073,40,0.0506514490043628
clear_probe,3009,13,13,13,1.0,True,856.5027589082755,11134.535865807582,7746.535865807581,38732.679329037914,2800.0,560,515,0.9196428571428571,45,0,523,13,13,13,14,14,3262.545360340691,6473.24728694868,1559.9120474542772,11134.535865807582,120,0.07121093899331754
