strategy,seed,channel,first_seen_time_s,directional
certified_clear_probe,0,5,29.0,False
certified_clear_probe,0,6,35.0,False
certified_clear_probe,0,13,77.0,False
certified_clear_probe,0,20,119.0,False
certified_clear_probe,0,12,319.0,True
certified_clear_probe,0,10,331.0,False
certified_clear_probe,0,1,494.4637186641315,False
certified_clear_probe,0,4,512.4637186641314,False
certified_clear_probe,0,2,850.2524310942483,True
certified_clear_probe,0,7,1340.2524310942483,True
certified_clear_probe,0,18,1788.2524310942483,False
certified_clear_probe,0,14,2969.7582191599295,True
certified_clear_probe,0,8,3483.7582191599295,True
certified_clear_probe,0,9,3961.7582191599295,True
certified_clear_probe,0,3,5996.141073446015,True
certified_clear_probe,0,16,6221.141073446015,True
certified_clear_probe,1,7,41.0,False
certified_clear_probe,1,13,77.0,True
certified_clear_probe,1,14,83.0,False
certified_clear_probe,1,19,113.0,False
certified_clear_probe,1,17,289.0,True
certified_clear_probe,1,8,579.0,True
certified_clear_probe,1,11,1652.618159864412,False
certified_clear_probe,1,16,1876.4682278655664,True
certified_clear_probe,1,4,1930.4682278655664,True
certified_clear_probe,1,3,4422.489434022895,True
certified_clear_probe,1,9,5711.168628028636,True
certified_clear_probe,2,6,35.0,False
certified_clear_probe,2,13,77.0,False
certified_clear_probe,2,15,89.0,True
certified_clear_probe,2,17,289.0,False
certified_clear_probe,2,16,295.0,False
certified_clear_probe,2,4,367.0,True
certified_clear_probe,2,2,379.0,False
certified_clear_probe,2,20,1361.5683753619787,True
certified_clear_probe,2,14,1397.5683753619787,True
certified_clear_probe,2,10,1415.5683753619787,False
certified_clear_probe,2,11,2018.5989223649433,False
certified_clear_probe,2,5,2054.598922364943,False
certified_clear_probe,2,3,2060.598922364943,False
certified_clear_probe,2,12,5568.843980109966,True
certified_clear_probe,2,19,5938.843980109966,True
certified_clear_probe,2,1,5980.843980109966,False
certified_clear_probe,3,1,5.0,False
certified_clear_probe,3,2,11.0,True
certified_clear_probe,3,8,47.0,False
certified_clear_probe,3,16,95.0,False
certified_clear_probe,3,19,113.0,False
certified_clear_probe,3,18,1342.0,False
certified_clear_probe,3,14,3000.0263164854555,False
certified_clear_probe,3,12,4550.322472704085,False
certified_clear_probe,3,5,5701.59193027275,False
certified_clear_probe,3,11,5737.59193027275,False
certified_clear_probe,3,10,7420.336049465356,True
certified_clear_probe,4,2,11.0,False
certified_clear_probe,4,4,23.0,True
certified_clear_probe,4,9,53.0,False
certified_clear_probe,4,17,101.0,True
certified_clear_probe,4,10,331.0,True
certified_clear_probe,4,5,361.0,False
certified_clear_probe,4,7,1945.0,True
certified_clear_probe,4,15,2725.0,False
certified_clear_probe,4,1,6172.408483213551,False
certified_clear_probe,4,16,6390.408483213551,False
certified_clear_probe,4,13,7033.832844813026,True
certified_clear_probe,5,3,17.0,False
certified_clear_probe,5,8,47.0,False
certified_clear_probe,5,9,53.0,False
certified_clear_probe,5,12,71.0,False
certified_clear_probe,5,17,101.0,True
certified_clear_probe,5,18,2744.1376806441563,True
certified_clear_probe,5,15,2938.1376806441563,False
certified_clear_probe,5,13,3458.1376806441563,False
certified_clear_probe,5,1,4926.173048049976,True
certified_clear_probe,5,6,4950.173048049976,True
certified_clear_probe,5,11,5249.077402067917,True
certified_clear_probe,5,7,5261.077402067917,False
certified_clear_probe,5,2,5285.077402067917,False
certified_clear_probe,5,4,5986.521165951719,True
certified_clear_probe,6,2,11.0,False
certified_clear_probe,6,3,17.0,False
certified_clear_probe,6,4,23.0,True
certified_clear_probe,6,6,35.0,True
certified_clear_probe,6,9,53.0,False
certified_clear_probe,6,10,59.0,True
certified_clear_probe,6,14,83.0,True
certified_clear_probe,6,15,89.0,False
certified_clear_probe,6,16,295.0,False
certified_clear_probe,6,11,560.7389155774529,False
certified_clear_probe,6,18,602.7389155774529,False
certified_clear_probe,6,20,771.805283798371,False
certified_clear_probe,6,12,819.805283798371,False
certified_clear_probe,6,19,2948.5976814706273,False
certified_clear_probe,6,1,3172.5976814706273,True
certified_clear_probe,6,8,4882.738284520831,True
certified_clear_probe,7,1,5.0,False
certified_clear_probe,7,9,53.0,False
certified_clear_probe,7,13,77.0,False
certified_clear_probe,7,19,113.0,True
certified_clear_probe,7,10,1631.0,True
certified_clear_probe,7,6,1909.0,True
certified_clear_probe,7,2,1933.0,False
certified_clear_probe,7,3,3891.509634915205,True
certified_clear_probe,7,4,4181.5096349152045,False
certified_clear_probe,7,5,5470.887515239128,True
certified_clear_probe,7,16,6300.887515239128,True
certified_clear_probe,7,18,6724.887515239128,True
certified_clear_probe,8,19,277.0,False
certified_clear_probe,8,4,367.0,False
certified_clear_probe,8,12,2917.2216677010733,True
certified_clear_probe,8,2,2971.2216677010733,False
certified_clear_probe,8,17,3727.2216677010733,True
certified_clear_probe,8,13,4980.298292048893,True
certified_clear_probe,8,7,5010.298292048893,False
certified_clear_probe,8,3,6459.8673396884515,True
certified_clear_probe,8,9,7102.3648259884385,True
certified_clear_probe,8,16,7132.3648259884385,False
certified_clear_probe,8,5,8405.653532786419,True
certified_clear_probe,9,2,11.0,False
certified_clear_probe,9,9,53.0,False
certified_clear_probe,9,19,113.0,False
certified_clear_probe,9,12,319.0,True
certified_clear_probe,9,8,610.6808157930739,False
