strategy,seed,channel,first_seen_time_s,directional
ida_heuristic_clear_probe,1053799946,1,5.0,False
ida_heuristic_clear_probe,1053799946,2,11.0,False
ida_heuristic_clear_probe,1053799946,3,17.0,False
ida_heuristic_clear_probe,1053799946,11,65.0,False
ida_heuristic_clear_probe,1053799946,12,71.0,False
ida_heuristic_clear_probe,1053799946,17,101.0,False
ida_heuristic_clear_probe,1053799946,19,113.0,False
ida_heuristic_clear_probe,1053799946,4,473.21673964442436,False
ida_heuristic_clear_probe,1053799946,6,1254.5184101489206,False
ida_heuristic_clear_probe,1053799946,10,2406.5184101489203,False
ida_heuristic_clear_probe,1053799946,15,2430.5184101489203,False
ida_heuristic_clear_probe,1053799946,5,2854.803636907947,False
ida_heuristic_clear_probe,1053799946,9,2878.803636907947,False
ida_heuristic_clear_probe,1053799946,16,3430.55254686254,False
ida_heuristic_clear_probe,1053799946,8,3460.55254686254,False
ida_heuristic_clear_probe,3769781415,1,5.0,False
ida_heuristic_clear_probe,3769781415,5,29.0,False
ida_heuristic_clear_probe,3769781415,7,41.0,False
ida_heuristic_clear_probe,3769781415,8,47.0,False
ida_heuristic_clear_probe,3769781415,11,65.0,False
ida_heuristic_clear_probe,3769781415,16,95.0,False
ida_heuristic_clear_probe,3769781415,13,312.2,False
ida_heuristic_clear_probe,3769781415,12,318.2,False
ida_heuristic_clear_probe,3769781415,4,366.2,False
ida_heuristic_clear_probe,3769781415,2,378.2,False
ida_heuristic_clear_probe,3769781415,18,2169.8803942610907,False
ida_heuristic_clear_probe,3769781415,19,2175.8803942610907,False
ida_heuristic_clear_probe,3769781415,14,3060.8680939875403,False
ida_heuristic_clear_probe,3769781415,6,3830.6694963329273,False
ida_heuristic_clear_probe,54363013,2,11.0,False
ida_heuristic_clear_probe,54363013,4,23.0,False
ida_heuristic_clear_probe,54363013,6,35.0,False
ida_heuristic_clear_probe,54363013,7,41.0,False
ida_heuristic_clear_probe,54363013,11,65.0,False
ida_heuristic_clear_probe,54363013,15,89.0,False
ida_heuristic_clear_probe,54363013,16,95.0,False
ida_heuristic_clear_probe,54363013,18,107.0,False
ida_heuristic_clear_probe,54363013,17,288.2,False
ida_heuristic_clear_probe,54363013,14,306.2,False
ida_heuristic_clear_probe,54363013,12,318.2,False
ida_heuristic_clear_probe,54363013,19,1172.195360842232,False
ida_heuristic_clear_probe,54363013,9,1500.2953323142808,False
ida_heuristic_clear_probe,54363013,8,1765.4953323142809,False
ida_heuristic_clear_probe,54363013,20,3858.699693498858,False
ida_heuristic_clear_probe,54363013,5,3894.699693498858,False
ida_heuristic_clear_probe,1790261668,1,5.0,False
ida_heuristic_clear_probe,1790261668,4,23.0,False
ida_heuristic_clear_probe,1790261668,5,29.0,False
ida_heuristic_clear_probe,1790261668,6,35.0,False
ida_heuristic_clear_probe,1790261668,7,41.0,False
ida_heuristic_clear_probe,1790261668,8,47.0,False
ida_heuristic_clear_probe,1790261668,14,83.0,False
ida_heuristic_clear_probe,1790261668,19,113.0,False
ida_heuristic_clear_probe,1790261668,16,294.2,False
ida_heuristic_clear_probe,1790261668,13,312.2,False
ida_heuristic_clear_probe,1790261668,17,2059.6816900728945,False
ida_heuristic_clear_probe,1790261668,3,2847.8239017595142,False
ida_heuristic_clear_probe,1790261668,12,3481.4239017595137,False
ida_heuristic_clear_probe,1790261668,18,3905.8685027339993,False
ida_heuristic_clear_probe,1790261668,2,3947.8685027339993,False
ida_heuristic_clear_probe,1790261668,9,5068.2150918620955,False
ida_heuristic_clear_probe,1842799737,1,5.0,False
ida_heuristic_clear_probe,1842799737,5,29.0,False
ida_heuristic_clear_probe,1842799737,8,47.0,False
ida_heuristic_clear_probe,1842799737,10,59.0,False
ida_heuristic_clear_probe,1842799737,19,113.0,False
ida_heuristic_clear_probe,1842799737,20,119.0,False
ida_heuristic_clear_probe,1842799737,16,294.2,False
ida_heuristic_clear_probe,1842799737,6,354.2,False
ida_heuristic_clear_probe,1842799737,13,840.6000109634876,False
