strategy,seed,channel,first_seen_time_s,directional
geometry_early_optical_clear_probe,1053799946,8,47.0,True
geometry_early_optical_clear_probe,1053799946,11,65.0,True
geometry_early_optical_clear_probe,1053799946,16,95.0,True
geometry_early_optical_clear_probe,1053799946,19,276.2,True
geometry_early_optical_clear_probe,1053799946,15,300.2,True
geometry_early_optical_clear_probe,1053799946,6,354.2,True
geometry_early_optical_clear_probe,1053799946,5,360.2,True
geometry_early_optical_clear_probe,1053799946,1,1281.1866946529326,True
geometry_early_optical_clear_probe,1053799946,17,3551.6350142637125,True
geometry_early_optical_clear_probe,1053799946,9,3581.6350142637125,True
geometry_early_optical_clear_probe,1053799946,3,3768.8350142637123,True
geometry_early_optical_clear_probe,1053799946,12,3804.8350142637123,True
geometry_early_optical_clear_probe,1053799946,10,4025.4615780692625,True
geometry_early_optical_clear_probe,1053799946,4,4867.578403984665,True
geometry_early_optical_clear_probe,1053799946,2,7428.814554865703,True
geometry_early_optical_clear_probe,3769781415,5,29.0,True
geometry_early_optical_clear_probe,3769781415,12,71.0,True
geometry_early_optical_clear_probe,3769781415,13,77.0,True
geometry_early_optical_clear_probe,3769781415,2,378.2,True
geometry_early_optical_clear_probe,3769781415,1,384.2,True
geometry_early_optical_clear_probe,3769781415,16,1677.8065509601488,True
geometry_early_optical_clear_probe,3769781415,18,1689.8065509601488,True
geometry_early_optical_clear_probe,3769781415,14,1866.2430600411817,True
geometry_early_optical_clear_probe,3769781415,4,3094.0993332106314,True
geometry_early_optical_clear_probe,3769781415,7,4767.128649464632,True
geometry_early_optical_clear_probe,3769781415,8,4773.128649464632,True
geometry_early_optical_clear_probe,3769781415,19,4978.328649464632,True
geometry_early_optical_clear_probe,3769781415,6,5207.528649464632,True
geometry_early_optical_clear_probe,3769781415,11,7243.8049990963655,True
geometry_early_optical_clear_probe,54363013,8,47.0,True
geometry_early_optical_clear_probe,54363013,11,65.0,True
geometry_early_optical_clear_probe,54363013,14,83.0,True
geometry_early_optical_clear_probe,54363013,17,101.0,True
geometry_early_optical_clear_probe,54363013,18,282.2,True
geometry_early_optical_clear_probe,54363013,19,643.9781419760545,True
geometry_early_optical_clear_probe,54363013,20,2200.3252337160916,True
geometry_early_optical_clear_probe,54363013,2,3120.813536927965,True
geometry_early_optical_clear_probe,54363013,4,3296.0135369279647,True
geometry_early_optical_clear_probe,54363013,15,4741.851736226592,True
geometry_early_optical_clear_probe,54363013,5,5218.251736226592,True
geometry_early_optical_clear_probe,54363013,16,5441.4517362265915,True
geometry_early_optical_clear_probe,54363013,7,6128.221508064319,True
geometry_early_optical_clear_probe,54363013,9,6695.821508064319,True
geometry_early_optical_clear_probe,54363013,6,7712.260621851117,True
geometry_early_optical_clear_probe,54363013,12,8062.660621851117,True
geometry_early_optical_clear_probe,1790261668,6,35.0,True
geometry_early_optical_clear_probe,1790261668,8,47.0,True
geometry_early_optical_clear_probe,1790261668,18,107.0,True
geometry_early_optical_clear_probe,1790261668,19,113.0,True
geometry_early_optical_clear_probe,1790261668,16,294.2,True
geometry_early_optical_clear_probe,1790261668,7,348.2,True
geometry_early_optical_clear_probe,1790261668,5,360.2,True
geometry_early_optical_clear_probe,1790261668,3,372.2,True
geometry_early_optical_clear_probe,1790261668,17,798.8208600247661,True
geometry_early_optical_clear_probe,1790261668,14,816.8208600247661,True
geometry_early_optical_clear_probe,1790261668,13,822.8208600247661,True
geometry_early_optical_clear_probe,1790261668,12,1088.020860024766,True
geometry_early_optical_clear_probe,1790261668,1,2163.2639372588364,True
geometry_early_optical_clear_probe,1790261668,9,3003.3996116177495,True
geometry_early_optical_clear_probe,1790261668,4,3015.3996116177495,True
geometry_early_optical_clear_probe,1790261668,2,3195.2236491242825,True
geometry_early_optical_clear_probe,1842799737,9,53.0,True
geometry_early_optical_clear_probe,1842799737,10,59.0,True
geometry_early_optical_clear_probe,1842799737,16,95.0,True
geometry_early_optical_clear_probe,1842799737,12,318.2,True
geometry_early_optical_clear_probe,1842799737,6,495.83279599277853,True
geometry_early_optical_clear_probe,1842799737,20,672.6474660924223,True
geometry_early_optical_clear_probe,1842799737,13,714.6474660924223,True
geometry_early_optical_clear_probe,1842799737,8,957.9432148174734,True
geometry_early_optical_clear_probe,1842799737,1,2085.8171681667577,True
geometry_early_optical_clear_probe,1842799737,15,4758.766179679708,True
geometry_early_optical_clear_probe,1842799737,19,5217.166179679708,True
geometry_early_optical_clear_probe,1842799737,5,5597.566179679708,True
geometry_early_optical_clear_probe,164208968,2,11.0,True
geometry_early_optical_clear_probe,164208968,4,23.0,True
geometry_early_optical_clear_probe,164208968,11,65.0,True
geometry_early_optical_clear_probe,164208968,16,95.0,True
geometry_early_optical_clear_probe,164208968,17,101.0,True
geometry_early_optical_clear_probe,164208968,8,342.2,True
geometry_early_optical_clear_probe,164208968,6,872.5999999999999,True
geometry_early_optical_clear_probe,164208968,1,902.5999999999999,True
geometry_early_optical_clear_probe,164208968,15,1638.524397408276,True
geometry_early_optical_clear_probe,164208968,20,2415.1502254748457,True
geometry_early_optical_clear_probe,164208968,9,4375.852055503782,True
geometry_early_optical_clear_probe,164208968,14,4405.852055503782,True
geometry_early_optical_clear_probe,164208968,19,4698.416584314392,True
geometry_early_optical_clear_probe,164208968,7,4901.548485249998,True
geometry_early_optical_clear_probe,164208968,12,6449.780975986575,True
geometry_early_optical_clear_probe,278802184,7,41.0,True
geometry_early_optical_clear_probe,278802184,9,53.0,True
geometry_early_optical_clear_probe,278802184,12,71.0,True
geometry_early_optical_clear_probe,278802184,16,294.2,True
geometry_early_optical_clear_probe,278802184,8,342.2,True
geometry_early_optical_clear_probe,278802184,4,877.6177180304803,True
geometry_early_optical_clear_probe,278802184,1,1046.8177180304804,True
geometry_early_optical_clear_probe,278802184,6,1711.0160429593752,True
geometry_early_optical_clear_probe,278802184,17,1753.0160429593752,True
geometry_early_optical_clear_probe,278802184,20,3693.5921788029855,True
geometry_early_optical_clear_probe,278802184,5,5411.117175411003,True
geometry_early_optical_clear_probe,278802184,18,5447.117175411003,True
geometry_early_optical_clear_probe,278802184,19,5976.360281672063,True
geometry_early_optical_clear_probe,184571676,1,5.0,True
geometry_early_optical_clear_probe,184571676,2,11.0,True
geometry_early_optical_clear_probe,184571676,4,23.0,True
geometry_early_optical_clear_probe,184571676,10,59.0,True
geometry_early_optical_clear_probe,184571676,13,77.0,True
geometry_early_optical_clear_probe,184571676,16,95.0,True
geometry_early_optical_clear_probe,184571676,15,300.2,True
geometry_early_optical_clear_probe,184571676,6,354.2,True
geometry_early_optical_clear_probe,184571676,7,2343.616179326168,True
geometry_early_optical_clear_probe,184571676,3,2367.616179326168,True
