strategy,seed,channel,first_seen_time_s,directional
ida_heuristic_clear_probe,3994878760,8,47.0,True
ida_heuristic_clear_probe,3994878760,20,119.0,True
ida_heuristic_clear_probe,3994878760,19,276.2,False
ida_heuristic_clear_probe,3994878760,15,300.2,True
ida_heuristic_clear_probe,3994878760,7,348.2,False
ida_heuristic_clear_probe,3994878760,9,877.9699570136829,True
ida_heuristic_clear_probe,3994878760,3,4552.622354053186,True
ida_heuristic_clear_probe,3994878760,14,5246.222354053186,True
ida_heuristic_clear_probe,3994878760,17,6096.026313083613,True
ida_heuristic_clear_probe,3994878760,11,6283.226313083613,True
ida_heuristic_clear_probe,3446493538,9,53.0,False
ida_heuristic_clear_probe,3446493538,12,71.0,True
ida_heuristic_clear_probe,3446493538,16,95.0,True
ida_heuristic_clear_probe,3446493538,18,107.0,True
ida_heuristic_clear_probe,3446493538,7,348.2,False
ida_heuristic_clear_probe,3446493538,3,372.2,True
ida_heuristic_clear_probe,3446493538,2,1576.848326292889,False
ida_heuristic_clear_probe,3446493538,4,2071.248326292889,False
ida_heuristic_clear_probe,3446493538,10,2594.788275104248,False
ida_heuristic_clear_probe,3446493538,19,2805.988275104248,False
ida_heuristic_clear_probe,3446493538,20,3760.9505630134386,True
ida_heuristic_clear_probe,1278112619,9,53.0,False
ida_heuristic_clear_probe,1278112619,11,65.0,False
ida_heuristic_clear_probe,1278112619,14,83.0,False
ida_heuristic_clear_probe,1278112619,17,101.0,True
ida_heuristic_clear_probe,1278112619,18,107.0,False
ida_heuristic_clear_probe,1278112619,20,119.0,False
ida_heuristic_clear_probe,1278112619,10,330.2,False
ida_heuristic_clear_probe,1278112619,6,354.2,False
ida_heuristic_clear_probe,1278112619,13,1021.8022163004092,False
ida_heuristic_clear_probe,1278112619,7,1057.8022163004093,True
ida_heuristic_clear_probe,1278112619,1,1245.0022163004094,False
ida_heuristic_clear_probe,1278112619,2,1251.0022163004094,False
ida_heuristic_clear_probe,1278112619,4,1768.3311192599517,True
ida_heuristic_clear_probe,1278112619,5,1774.3311192599517,True
ida_heuristic_clear_probe,1278112619,19,3985.7300161034027,True
ida_heuristic_clear_probe,1278112619,16,5988.743528823045,False
ida_heuristic_clear_probe,4265401991,6,35.0,True
ida_heuristic_clear_probe,4265401991,7,41.0,True
ida_heuristic_clear_probe,4265401991,9,53.0,True
ida_heuristic_clear_probe,4265401991,10,59.0,False
ida_heuristic_clear_probe,4265401991,15,89.0,False
ida_heuristic_clear_probe,4265401991,17,101.0,False
ida_heuristic_clear_probe,4265401991,4,366.2,False
ida_heuristic_clear_probe,4265401991,1,384.2,False
ida_heuristic_clear_probe,4265401991,13,551.3611444694193,False
ida_heuristic_clear_probe,4265401991,16,569.3611444694193,True
ida_heuristic_clear_probe,4265401991,5,1867.2433156254397,True
ida_heuristic_clear_probe,4265401991,2,2338.5115297310904,True
ida_heuristic_clear_probe,4265401991,19,2718.91152973109,True
ida_heuristic_clear_probe,4265401991,3,2930.11152973109,True
ida_heuristic_clear_probe,4265401991,11,2948.11152973109,True
ida_heuristic_clear_probe,428302697,10,59.0,True
ida_heuristic_clear_probe,428302697,13,77.0,False
ida_heuristic_clear_probe,428302697,14,83.0,False
ida_heuristic_clear_probe,428302697,15,89.0,False
ida_heuristic_clear_probe,428302697,19,276.2,False
ida_heuristic_clear_probe,428302697,5,360.2,True
ida_heuristic_clear_probe,428302697,2,378.2,True
ida_heuristic_clear_probe,428302697,1,1043.640345526581,False
ida_heuristic_clear_probe,428302697,18,1115.640345526581,True
ida_heuristic_clear_probe,428302697,11,1562.0403455265812,False
ida_heuristic_clear_probe,428302697,6,1759.4654149593694,True
ida_heuristic_clear_probe,428302697,12,3817.8669972389507,True
ida_heuristic_clear_probe,428302697,20,4818.743849995696,False
ida_heuristic_clear_probe,428302697,4,5023.943849995696,False
ida_heuristic_clear_probe,428302697,8,5864.483269316297,True
ida_heuristic_clear_probe,428302697,3,6482.519171835138,True
ida_heuristic_clear_probe,4291446997,2,11.0,True
ida_heuristic_clear_probe,4291446997,6,35.0,True
ida_heuristic_clear_probe,4291446997,13,77.0,True
ida_heuristic_clear_probe,4291446997,17,101.0,False
ida_heuristic_clear_probe,4291446997,8,342.2,False
ida_heuristic_clear_probe,4291446997,7,348.2,True
ida_heuristic_clear_probe,4291446997,5,360.2,True
ida_heuristic_clear_probe,4291446997,20,580.267312701634,True
ida_heuristic_clear_probe,4291446997,3,4085.5989301721925,False
ida_heuristic_clear_probe,4291446997,18,4603.998930172193,False
ida_heuristic_clear_probe,4291446997,16,4785.198930172192,True
ida_heuristic_clear_probe,1698866270,12,71.0,False
ida_heuristic_clear_probe,1698866270,17,101.0,False
ida_heuristic_clear_probe,1698866270,18,107.0,True
ida_heuristic_clear_probe,1698866270,19,113.0,True
ida_heuristic_clear_probe,1698866270,13,312.2,True
ida_heuristic_clear_probe,1698866270,3,372.2,False
ida_heuristic_clear_probe,1698866270,15,583.3416702142116,True
ida_heuristic_clear_probe,1698866270,2,1026.8861440142457,True
ida_heuristic_clear_probe,1698866270,11,1567.788003367052,False
ida_heuristic_clear_probe,1698866270,5,2349.830928513406,True
ida_heuristic_clear_probe,1698866270,4,2355.830928513406,True
ida_heuristic_clear_probe,1698866270,16,4455.322694092363,False
ida_heuristic_clear_probe,44365831,8,47.0,True
ida_heuristic_clear_probe,44365831,9,53.0,False
ida_heuristic_clear_probe,44365831,11,65.0,False
ida_heuristic_clear_probe,44365831,13,77.0,False
ida_heuristic_clear_probe,44365831,18,107.0,False
ida_heuristic_clear_probe,44365831,14,306.2,True
ida_heuristic_clear_probe,44365831,7,348.2,True
ida_heuristic_clear_probe,44365831,5,360.2,False
ida_heuristic_clear_probe,44365831,4,366.2,True
ida_heuristic_clear_probe,44365831,2,378.2,True
ida_heuristic_clear_probe,44365831,17,1151.4672011119997,False
ida_heuristic_clear_probe,44365831,6,3345.9303791661187,True
ida_heuristic_clear_probe,44365831,15,4146.159043777819,False
ida_heuristic_clear_probe,44365831,10,4158.159043777819,True
ida_heuristic_clear_probe,44365831,1,5040.519476589989,True
ida_heuristic_clear_probe,1975052011,1,5.0,True
ida_heuristic_clear_probe,1975052011,3,17.0,False
ida_heuristic_clear_probe,1975052011,11,65.0,True
ida_heuristic_clear_probe,1975052011,12,71.0,True
ida_heuristic_clear_probe,1975052011,14,83.0,True
ida_heuristic_clear_probe,1975052011,16,95.0,False
ida_heuristic_clear_probe,1975052011,18,107.0,False
ida_heuristic_clear_probe,1975052011,2,378.2,False
ida_heuristic_clear_probe,1975052011,8,540.9453885863568,False
ida_heuristic_clear_probe,1975052011,4,1083.1430371860079,False
ida_heuristic_clear_probe,1975052011,5,1089.1430371860079,True
ida_heuristic_clear_probe,1975052011,15,1143.1430371860079,True
ida_heuristic_clear_probe,1975052011,20,1167.1430371860079,True
ida_heuristic_clear_probe,1975052011,6,1623.0214586887746,True
